,term,TF-IDF
1255,chlamydia,0.0
1256,choice,0.0
1257,choices,0.0
1258,choose,0.0
1259,chooses,0.0
1260,chose,0.0
1261,chosen,0.0
1262,chris,0.0
1263,christmas,0.0
1264,christopher,0.0
1265,chrome,0.0
1266,chrysalisalone,0.0
1267,chun,0.0
1268,ci,0.0
1269,ciadi,0.0
1270,cic,0.0
1271,cihr,0.0
1272,ciise,0.0
1273,cinema,0.0
1274,circulating,0.0
1275,circulation,0.0
1276,circumpolar,0.0
1277,circumstances,0.0
1278,circumstancesrequesting,0.0
1279,cisse,0.0
1280,cissé,0.0
1281,citation,0.0
1282,citations,0.0
1283,cities,0.10296951708916086
1284,citizen,0.0
1285,citizens,0.0
1286,citizenship,0.0
1287,city,0.0
1288,ciuciu,0.0
1289,civil,0.0
1290,claimed,0.0
1291,class,0.050997881300832645
1292,classes,0.0
1293,classic,0.0
1294,classmates,0.0
1295,classroom,0.0
1296,classrooms,0.0
1297,claudine,0.0
1298,clean,0.0
1299,cleaning,0.0
1300,clear,0.0
1301,cleared,0.0
1302,clearly,0.0
1303,click,0.0
1304,clicking,0.0
1305,client,0.0
1306,climate,0.0
1307,climatic,0.0
1308,clinic,0.0
1309,clinical,0.02159475032937543
1310,clinicclinical,0.0
1311,clinicpost,0.0
1312,clinics,0.0
1313,clinicshealth,0.0
1314,close,0.0
1315,closed,0.0
1316,closely,0.0
1317,closing,0.0
1318,closures,0.0
1319,clsc,0.0
1320,clscs,0.0
1321,clubs,0.0
1322,clustered,0.0
1323,clusters,0.0
1324,cme,0.0
1325,cms,0.0
1326,cnesst,0.0
1327,co,0.011404676575995783
1328,coach,0.0
1329,coaches,0.0
1330,coaching,0.0
1331,coast,0.0
1332,coatings,0.0
1333,cocoon,0.0
1334,code,0.0
1335,codefind,0.0
1336,codes,0.0
1337,cody,0.025775143542583125
1338,cohds,0.0
1339,cohort,0.0
1340,coincide,0.0
1341,collaborate,0.0
1342,collaborated,0.0
1343,collaborating,0.0
1344,collaboration,0.01836811888459005
1345,collaborations,0.0
1346,collaborative,0.0
1347,collaborators,0.0
1348,colleague,0.0
1349,colleagues,0.0
1350,collect,0.0
1351,collected,0.0
1352,collecting,0.0
1353,collection,0.01836811888459005
1354,collections,0.0
1355,collective,0.0
1356,collectively,0.0
1357,college,0.024398907209525006
1358,colleges,0.05155028708516625
1359,collide,0.0
1360,collège,0.0
1361,colombia,0.0
1362,colosimo,0.0
1363,colour,0.0
1364,columbia,0.0
1365,column,0.0
